ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;Mme RÉMY-LELEU Raphaëlle (EELV);M. RUPIN Pacôme (LREM Buzyn);M. VÉRON Aurélien (LR);M. WEIL Ariel (PS);Mme LEBRETON Anne (LREM Villani)
1;Municipales;2020;1;15/03/2020;1;6;2;1;16;1184;500;500;3;3;494;65;118;143;101;39
2;Municipales;2020;1;15/03/2020;1;6;2;2;18;1035;454;454;3;3;448;51;102;124;106;33
3;Municipales;2020;1;15/03/2020;1;5;2;3;20;848;338;338;0;2;336;29;84;99;76;29
4;Municipales;2020;1;15/03/2020;1;7;2;4;26;1511;641;641;5;4;632;92;146;114;193;59
5;Municipales;2020;1;15/03/2020;1;7;2;5;21;1441;654;654;1;2;651;116;142;110;190;51
6;Municipales;2020;1;15/03/2020;1;7;2;6;26;1450;674;673;2;0;671;112;178;133;165;47
7;Municipales;2020;1;15/03/2020;1;8;2;7;38;1490;691;692;4;4;684;103;163;124;226;40
8;Municipales;2020;1;15/03/2020;1;8;2;8;39;1819;797;797;2;2;793;149;147;93;290;57
9;Municipales;2020;1;15/03/2020;1;8;2;9;41;1711;743;742;3;0;739;132;155;91;255;65
10;Municipales;2020;1;15/03/2020;1;8;2;10;27;1379;649;649;1;3;645;115;123;98;228;42
