ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;Mme RÉMY-LELEU Raphaëlle (EELV);M. RUPIN Pacôme (LREM Buzyn);M. VÉRON Aurélien (LR);M. WEIL Ariel (PS);Mme LEBRETON Anne (LREM Villani)
1;Municipales;2020;1;15/03/2020;7;14;4;1;17;1269;551;551;6;3;542;30;83;168;199;32
2;Municipales;2020;1;15/03/2020;7;14;4;2;21;1139;552;552;3;7;542;42;123;110;188;55
3;Municipales;2020;1;15/03/2020;7;14;4;3;24;1416;606;606;5;1;600;65;116;94;230;58
4;Municipales;2020;1;15/03/2020;7;14;4;4;32;1313;629;629;4;8;617;60;114;118;229;46
5;Municipales;2020;1;15/03/2020;7;15;4;5;69;1418;718;718;1;4;713;56;170;180;227;50
6;Municipales;2020;1;15/03/2020;7;15;4;6;42;1729;787;787;2;4;781;72;157;165;287;70
7;Municipales;2020;1;15/03/2020;7;15;4;7;33;1351;660;660;1;1;658;53;120;146;239;65
8;Municipales;2020;1;15/03/2020;7;15;4;8;13;1568;711;712;1;4;707;50;121;188;217;83
9;Municipales;2020;1;15/03/2020;7;16;4;9;43;1056;518;518;2;3;513;25;96;173;142;47
10;Municipales;2020;1;11/03/2008;7;16;4;10;7;1040;505;505;9;0;496;30;107;161;114;60
11;Municipales;2020;1;15/03/2020;7;13;4;11;20;1037;504;504;2;1;501;39;97;96;188;45
12;Municipales;2020;1;15/03/2020;7;13;4;12;18;1216;609;608;2;5;601;39;125;115;220;59
13;Municipales;2020;1;15/03/2020;7;13;4;13;31;1604;739;739;4;3;732;65;148;126;273;57
14;Municipales;2020;1;15/03/2020;7;14;4;14;37;1251;611;611;2;6;603;46;104;127;253;50
