ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;Mme RÉMY-LELEU Raphaëlle (EELV);M. RUPIN Pacôme (LREM Buzyn);M. VÉRON Aurélien (LR);M. WEIL Ariel (PS);Mme LEBRETON Anne (LREM Villani)
1;Municipales;2020;1;15/03/2020;5;10;3;1;20;1412;626;626;0;3;623;73;121;112;241;44
2;Municipales;2020;1;15/03/2020;5;10;3;2;21;1545;670;670;5;8;657;70;110;87;313;32
3;Municipales;2020;1;15/03/2020;5;10;3;3;25;1312;629;629;3;3;623;58;137;95;247;52
4;Municipales;2020;1;15/03/2020;5;10;3;4;19;1424;655;656;1;8;647;61;133;113;252;44
5;Municipales;2020;1;15/03/2020;5;11;3;5;32;1272;598;598;1;4;593;57;146;130;198;34
6;Municipales;2020;1;15/03/2020;5;11;3;6;26;1399;649;649;6;9;634;51;144;127;232;42
7;Municipales;2020;1;15/03/2020;5;11;3;7;24;1455;695;695;3;10;682;55;151;150;214;78
8;Municipales;2020;1;15/03/2020;5;11;3;8;28;1326;624;624;2;11;611;55;151;138;189;51
9;Municipales;2020;1;15/03/2020;5;12;3;9;25;1651;785;785;4;9;772;72;153;137;294;55
10;Municipales;2020;1;11/03/2008;5;12;3;10;43;1685;801;801;1;6;794;90;136;142;330;51
11;Municipales;2020;1;15/03/2020;5;12;3;11;34;1573;707;707;2;4;701;67;151;110;259;69
12;Municipales;2020;1;15/03/2020;5;9;3;12;44;1456;657;657;2;7;648;81;107;99;268;51
13;Municipales;2020;1;15/03/2020;5;9;3;13;31;1538;651;651;3;8;640;95;113;66;279;38
14;Municipales;2020;1;15/03/2020;5;9;3;14;57;1673;807;807;5;9;793;94;167;108;316;61
15;Municipales;2020;1;15/03/2020;5;9;3;15;23;1484;726;726;1;4;721;57;154;139;273;47
